Epoch,Loss,Accuracy
1,0.8616700021993546,79.68253968253968
2,0.7763763350153726,84.76190476190476
3,0.7370081036809891,84.44444444444444
4,0.7131639548237362,85.71428571428571
5,0.6751574750457491,86.03174603174604
6,0.6498663339823011,86.03174603174604
7,0.6283130631560371,86.66666666666667
8,0.5882707166293311,86.03174603174604
9,0.5562169636289279,88.88888888888889
10,0.5368043687253717,87.61904761904762
11,0.522270330526526,88.57142857142857
12,0.5218580252003102,88.25396825396825
13,0.5030780580190439,89.20634920634922
14,0.5092019464998018,88.88888888888889
15,0.4867141014171971,88.57142857142857
16,0.4871863170393876,88.57142857142857
17,0.4722063600425682,89.20634920634922
18,0.48143882610140337,88.88888888888889
19,0.4813356843969179,88.88888888888889
20,0.5089850769067804,87.61904761904762
21,0.48554691808327793,88.57142857142857
22,0.48708087989380433,87.3015873015873
23,0.4922420925091183,87.61904761904762
24,0.45339053707226873,90.7936507936508
25,0.4495541098601525,89.52380952380953
26,0.451959751587775,88.57142857142857
27,0.4495108923298262,88.25396825396825
28,0.4407305346387956,88.57142857142857
29,0.4382116269970697,89.84126984126985
30,0.4300947568896744,90.47619047619048
31,0.42979034804517313,88.88888888888889
32,0.4346541249503692,89.52380952380953
33,0.43117479547444315,88.88888888888889
34,0.42138962195003554,89.84126984126985
35,0.41425958205428387,89.84126984126985
36,0.4230831477081492,89.52380952380953
37,0.41906383339433917,90.15873015873017
38,0.41615159314066646,89.84126984126985
39,0.4061855758111628,90.7936507936508
40,0.4160640986518018,90.47619047619048
41,0.4145365659797948,90.15873015873017
42,0.41160753954586293,90.47619047619048
43,0.40718320043136674,90.15873015873017
44,0.40652000601033844,89.84126984126985
45,0.39501189063377085,90.15873015873017
46,0.3832808495055707,91.11111111111111
47,0.37187362532205287,91.11111111111111
48,0.3635047398064108,91.74603174603175
49,0.3531988766399168,91.11111111111111
50,0.35318093708021536,91.74603174603175
