Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,0,0,0,0.0,0.5,0
3,10007.3828,1,0,1,0.3844,0.8659,0
4,10007.3828,0,0,0,0.3844,0.8659,0
5,10716.4199,1,0,1,0.6436,0.8771,0
6,10716.4199,0,0,0,0.6436,0.8771,0
7,16584.8105,1,0,1,1.0231,0.925,0
8,16584.8105,0,0,0,1.0231,0.925,0
9,22085.459,1,0,1,1.1782,0.9369,0
10,22085.459,0,0,0,1.1782,0.9369,0
11,0.0,0,0,0,0.4892,0.5,0
12,0.0,1,0,1,0.4892,0.5,0
13,0.0,0,0,0,0.7468,0.5,0
14,0.0,1,0,1,0.7468,0.5,0
15,0.0,0,0,0,1.0099,0.5,0
16,0.0,1,0,1,1.0099,0.5,0
17,0.0,0,0,0,1.2803,0.5,0
18,0.0,1,0,1,1.2803,0.5,0
19,0.0,0,0,0,1.508,0.5,0
20,0.0,0,0,0,1.508,0.5,0
21,40930.9375,1,0,1,2.0489,0.9411,0
22,40930.9375,0,0,0,2.0489,0.9411,0
23,42601.5977,1,0,1,2.3695,0.9411,0
24,42601.5977,0,0,0,2.3695,0.9411,0
25,46009.5234,1,0,1,3.069,0.9412,0
26,46009.5234,0,0,0,3.069,0.9412,0
27,48782.5586,1,0,1,3.1924,0.9412,0
28,48782.5586,0,0,0,3.1924,0.9412,0
29,47846.8945,1,0,1,3.5411,0.9412,0
