Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,0.0,0.5,0
2,0.0,1,0,1,0.0,0.5,0
3,7685.4282,0,0,0,1.3039,0.7652,0
4,7685.4282,0,0,0,1.3039,0.7652,0
5,9809.3438,1,0,1,1.3238,0.8625,0
6,9809.3438,0,0,0,1.3238,0.8625,0
7,0.0,0,0,0,1.0517,0.5,0
8,0.0,1,0,1,1.0517,0.5,0
9,7700.3398,0,0,0,1.7241,0.7658,0
10,7700.3398,0,0,0,1.7241,0.7658,0
11,9809.1875,1,0,1,1.4974,0.8625,0
12,9809.1875,0,0,0,1.4974,0.8625,0
13,0.0,0,0,0,1.1315,0.5,0
14,0.0,1,0,1,1.1315,0.5,0
15,7677.0166,0,0,0,1.7889,0.7652,0
16,7677.0166,0,0,0,1.7889,0.7652,0
17,0.0,0,0,0,1.2563,0.5,0
18,0.0,1,0,1,1.2563,0.5,0
19,7677.0347,0,0,0,1.8405,0.7652,0
20,7677.0347,0,0,0,1.8405,0.7652,0
21,9790.2822,1,0,1,1.5649,0.8622,0
22,9790.2822,0,0,0,1.5649,0.8622,0
23,0.0,0,0,0,1.1637,0.5,0
24,0.0,1,0,1,1.1637,0.5,0
25,7676.6211,0,0,0,1.7977,0.7652,0
26,7676.6211,0,0,0,1.7977,0.7652,0
27,9790.3848,1,0,1,1.5327,0.8622,0
28,9790.3848,0,0,0,1.5327,0.8622,0
29,7650.6318,0,0,0,1.9229,0.7195,0
