Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,9889.4473,1,0,1,0.7551,0.8639,0
2,9889.4473,1,0,2,0.7551,0.8639,0
3,13486.9648,1,0,3,2.6865,0.8538,0
4,13486.9648,0,0,0,2.6865,0.8538,0
5,13989.6982,1,0,1,3.0717,0.9112,0
6,13989.6982,1,0,2,3.0717,0.9112,0
7,13486.5771,1,0,3,3.6459,0.8036,0
8,13486.5771,0,0,0,3.6459,0.8036,0
9,13989.6982,1,0,1,3.459,0.9112,0
10,13989.6982,1,0,2,3.459,0.9112,0
11,7050.4419,0,0,0,3.1598,0.6946,0
12,7050.4419,1,0,1,3.1598,0.6946,0
13,13545.5146,1,0,2,3.6979,0.8543,0
14,13545.5146,1,0,3,3.6979,0.8543,0
15,7078.1235,0,0,0,3.2613,0.648,0
16,7078.1235,1,0,1,3.2613,0.648,0
17,13574.1562,1,0,2,3.7393,0.8545,0
18,13574.1562,1,0,3,3.7393,0.8545,0
19,7104.9062,0,0,0,3.2668,0.6488,0
20,7104.9062,1,0,1,3.2668,0.6488,0
21,13545.1309,1,0,2,3.721,0.8543,0
22,13545.1309,0,0,0,3.721,0.8543,0
23,14046.0801,1,0,1,3.4842,0.9116,0
24,14046.0801,1,0,2,3.4842,0.9116,0
25,13575.502,1,0,3,3.8151,0.8043,0
26,13575.502,0,0,0,3.8151,0.8043,0
27,14074.7129,1,0,1,3.5253,0.9118,0
28,14074.7129,1,0,2,3.5253,0.9118,0
29,7117.0708,0,0,0,3.6446,0.6964,0
