Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,83801.9141,1,0,1,4.7622,0.9412,0
2,83801.9141,0,0,0,4.7622,0.9412,0
3,7853.8013,1,0,1,4.094,0.8206,0
4,7853.8013,1,0,2,4.094,0.8206,0
5,62497.2305,1,0,3,6.1593,0.9412,0
6,62497.2305,0,0,0,6.1593,0.9412,0
7,8935.3223,1,0,1,6.3621,0.8457,0
8,8935.3223,1,0,2,6.3621,0.8457,0
9,1176.6666,0,0,0,10.4634,0.5,0
10,1176.6666,0,0,0,10.4634,0.5,0
11,0.0,0,0,0,15.1255,0.5,0
12,0.0,0,0,0,15.1255,0.5,0
13,0.0,0,0,0,19.4795,0.5,0
14,0.0,0,0,0,19.4795,0.5,0
15,0.0,0,0,0,20.4841,0.5,0
16,0.0,0,0,0,20.4841,0.5,0
17,0.0,0,0,0,20.1719,0.5,0
18,0.0,0,0,0,20.1719,0.5,0
19,0.0,0,0,0,15.3789,0.5,0
20,0.0,0,0,0,15.3789,0.5,0
21,0.0,0,0,0,14.6422,0.5,0
22,0.0,0,0,0,14.6422,0.5,0
23,0.0,0,0,0,16.237,0.5,0
24,0.0,0,0,0,16.237,0.5,0
25,0.0,0,0,0,12.8272,0.5,0
26,0.0,1,0,1,12.8272,0.5,0
27,0.0,0,0,0,15.543,0.5,0
28,0.0,0,0,0,15.543,0.5,0
29,0.0,0,0,0,15.6972,0.5,0
