Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,10007.3828,1,0,1,0.3844,0.8659,0
2,10007.3828,1,0,2,0.3844,0.8659,0
3,33664.5703,1,0,3,2.4738,0.9409,0
4,33664.5703,1,0,4,2.4738,0.9409,0
5,39625.0039,1,0,5,5.3747,0.8337,0
6,39625.0039,1,0,6,5.3747,0.8337,0
7,29928.5488,0,0,0,7.0863,0.7381,0
8,29928.5488,0,0,0,7.0863,0.7381,0
9,4047.9417,0,0,0,10.4466,0.5,0
10,4047.9417,0,0,0,10.4466,0.5,0
11,0.0,0,0,0,13.9138,0.5,0
12,0.0,0,0,0,13.9138,0.5,0
13,0.0,0,0,0,14.7384,0.5,0
14,0.0,0,0,0,14.7384,0.5,0
15,0.0,0,0,0,18.5907,0.5,0
16,0.0,0,0,0,18.5907,0.5,0
17,0.0,0,0,0,21.4344,0.5,0
18,0.0,0,0,0,21.4344,0.5,0
19,0.0,0,0,0,15.4933,0.5,0
20,0.0,0,0,0,15.4933,0.5,0
21,0.0,0,0,0,11.371,0.5,0
22,0.0,0,0,0,11.371,0.5,0
23,4679.0195,0,0,0,6.58,0.7135,0
24,4679.0195,0,0,0,6.58,0.7135,0
25,387.6067,0,0,0,2.8125,0.5,0
26,387.6067,0,0,0,2.8125,0.5,0
27,0.0,0,0,0,1.1623,0.5,0
28,0.0,0,0,0,1.1623,0.5,0
29,0.0,0,0,0,0.4803,0.5,0
