Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,18948.0859,1,0,1,0.8279,0.932,0
2,18948.0859,1,0,2,0.8279,0.932,0
3,36331.7344,1,0,3,3.2092,0.8857,0
4,36331.7344,1,0,4,3.2092,0.8857,0
5,34523.6328,1,0,5,5.942,0.7845,0
6,34523.6328,0,0,0,5.942,0.7845,0
7,9863.2354,0,0,0,9.1395,0.6177,0
8,9863.2354,0,0,0,9.1395,0.6177,0
9,227.8529,0,0,0,12.5839,0.5,0
10,227.8529,0,0,0,12.5839,0.5,0
11,0.0,0,0,0,15.3075,0.5,0
12,0.0,0,0,0,15.3075,0.5,0
13,0.0,0,0,0,18.5922,0.5,0
14,0.0,0,0,0,18.5922,0.5,0
15,0.0,0,0,0,25.2838,0.5,0
16,0.0,0,0,0,25.2838,0.5,0
17,0.0,0,0,0,18.0309,0.5,0
18,0.0,0,0,0,18.0309,0.5,0
19,68.2766,0,0,0,11.1791,0.5,0
20,68.2766,0,0,0,11.1791,0.5,0
21,3242.3484,0,0,0,6.0518,0.6477,0
22,3242.3484,0,0,0,6.0518,0.6477,0
23,0.0,0,0,0,2.5162,0.5,0
24,0.0,0,0,0,2.5162,0.5,0
25,0.0,0,0,0,1.0399,0.5,0
26,0.0,0,0,0,1.0399,0.5,0
27,0.0,0,0,0,0.4297,0.5,0
28,0.0,0,0,0,0.4297,0.5,0
29,0.0,0,0,0,0.1776,0.5,0
