Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,0.0,0,0,0,4.4148,0.5,0
2,0.0,0,0,0,4.4148,0.5,0
3,0.0,0,0,0,8.2416,0.5,0
4,0.0,0,0,0,8.2416,0.5,0
5,0.0,0,0,0,9.6451,0.5,0
6,0.0,0,0,0,9.6451,0.5,0
7,0.0,0,0,0,9.7706,0.5,0
8,0.0,0,0,0,9.7706,0.5,0
9,0.0,0,0,0,9.3828,0.5,0
10,0.0,0,0,0,9.3828,0.5,0
11,0.0,0,0,0,8.5924,0.5,0
12,0.0,0,0,0,8.5924,0.5,0
13,0.0,0,0,0,7.8632,0.5,0
14,0.0,0,0,0,7.8632,0.5,0
15,0.0,0,0,0,6.8025,0.5,0
16,0.0,0,0,0,6.8025,0.5,0
17,0.0,0,0,0,6.1839,0.5,0
18,0.0,0,0,0,6.1839,0.5,0
19,0.0,0,0,0,5.3743,0.5,0
20,0.0,0,0,0,5.3743,0.5,0
21,0.0,0,0,0,4.6634,0.5,0
22,0.0,0,0,0,4.6634,0.5,0
23,0.0,0,0,0,3.9196,0.5,0
24,0.0,0,0,0,3.9196,0.5,0
25,0.0,0,0,0,2.9003,0.5,0
26,0.0,0,0,0,2.9003,0.5,0
27,0.0,0,0,0,2.1522,0.5,0
28,0.0,0,0,0,2.1522,0.5,0
29,0.0,0,0,0,1.1399,0.5,0
