Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,45790.5195,1,0,1,1.6594,0.9412,0
2,45790.5195,0,0,0,1.6594,0.9412,0
3,7766.9307,1,0,1,3.744,0.8183,0
4,7766.9307,1,0,2,3.744,0.8183,0
5,9844.4785,1,0,3,5.1228,0.8078,0
6,9844.4785,1,0,4,5.1228,0.8078,0
7,19763.5586,1,0,5,7.9704,0.8783,0
8,19763.5586,0,0,0,7.9704,0.8783,0
9,2068.5364,0,0,0,9.9457,0.5,0
10,2068.5364,0,0,0,9.9457,0.5,0
11,765.9025,0,0,0,11.1545,0.5,0
12,765.9025,0,0,0,11.1545,0.5,0
13,0.0,0,0,0,13.7499,0.5,0
14,0.0,0,0,0,13.7499,0.5,0
15,0.0,0,0,0,12.8292,0.5,0
16,0.0,0,0,0,12.8292,0.5,0
17,291.9268,0,0,0,11.6737,0.5,0
18,291.9268,0,0,0,11.6737,0.5,0
19,2142.9231,0,0,0,10.535,0.591,0
20,2142.9231,1,0,1,10.535,0.591,0
21,0.0,0,0,0,14.3675,0.5,0
22,0.0,0,0,0,14.3675,0.5,0
23,64.2282,0,0,0,12.6519,0.5,0
24,64.2282,0,0,0,12.6519,0.5,0
25,103.9677,0,0,0,15.4231,0.5,0
26,103.9677,0,0,0,15.4231,0.5,0
27,0.0,0,0,0,12.6826,0.5,0
28,0.0,0,0,0,12.6826,0.5,0
29,0.0,0,0,0,13.7555,0.5,0
