Frame,MembranePotential,Spikes,Collision,TotalSpikes,MotionEnergy,SFA,Prediction
1,10007.3828,1,0,1,0.3844,0.8659,0
2,10007.3828,1,0,2,0.3844,0.8659,0
3,29685.75,1,0,3,1.9331,0.9405,0
4,29685.75,1,0,4,1.9331,0.9405,0
5,48321.2539,1,0,5,3.726,0.9412,0
6,48321.2539,1,0,6,3.726,0.9412,0
7,42800.2969,1,0,7,5.3698,0.9411,0
8,42800.2969,1,1,8,5.3698,0.9411,1
9,22721.3125,1,1,9,7.5844,0.9375,1
10,22721.3125,1,1,10,7.5844,0.9375,1
11,11245.7617,1,1,11,9.2632,0.8844,1
12,11245.7617,0,0,0,9.2632,0.8844,0
13,1625.5385,0,0,0,11.1614,0.5,0
14,1625.5385,0,0,0,11.1614,0.5,0
15,176.1401,0,0,0,12.9995,0.5,0
16,176.1401,0,0,0,12.9995,0.5,0
17,0.0,0,0,0,15.3687,0.5,0
18,0.0,0,0,0,15.3687,0.5,0
19,0.0,0,0,0,17.1665,0.5,0
20,0.0,0,0,0,17.1665,0.5,0
21,0.0,0,0,0,18.1387,0.5,0
22,0.0,0,0,0,18.1387,0.5,0
23,0.0,0,0,0,14.1181,0.5,0
24,0.0,0,0,0,14.1181,0.5,0
25,2655.8542,0,0,0,10.1797,0.618,0
26,2655.8542,0,0,0,10.1797,0.618,0
27,13551.0801,1,0,1,6.6144,0.908,0
28,13551.0801,0,0,0,6.6144,0.908,0
29,8437.1543,1,0,1,3.5381,0.8348,0
