Frame,MotionEnergy,Prediction
1,0.0,0
2,0.0,0
3,0.0,0
4,-3796.0,1
5,0.0,0
6,725.0,0
7,0.0,0
8,-731.0,0
9,0.0,0
10,-745.0,0
11,0.0,0
12,0.0,0
13,-258.0,0
14,0.0,0
15,-4588.0,1
16,0.0,0
17,-991.0,0
18,483.0,0
19,25.0,0
20,0.0,0
21,0.0,0
22,216.0,0
23,0.0,0
24,212.0,0
25,-27.0,0
26,1261.0,1
27,0.0,0
28,-3245.0,1
29,0.0,0
30,1338.0,1
