Frame,MotionEnergy,Prediction
1,0.0,0
2,191796.0,1
3,127009.0,1
4,-190319.0,1
5,192074.0,1
6,193301.0,1
7,-1287.0,1
8,-189025.0,1
9,192794.0,1
10,-125772.0,1
11,192804.0,1
12,192571.0,1
13,-193786.0,1
14,129519.0,1
15,129260.0,1
16,-194298.0,1
17,132094.0,1
18,-63267.0,1
19,-130042.0,1
20,66258.0,1
21,128540.0,1
22,-64287.0,1
23,-127512.0,1
24,129312.0,1
25,-129032.0,1
26,129544.0,1
27,-129544.0,1
28,129544.0,1
29,-64013.0,1
30,66794.0,1
