Frame,MotionEnergy,Prediction
1,0.0,0
2,129605.0,1
3,129580.0,1
4,129580.0,1
5,129580.0,1
6,129580.0,1
7,129580.0,1
8,129580.0,1
9,129580.0,1
10,129580.0,1
11,129580.0,1
12,129580.0,1
13,128024.0,1
14,128049.0,1
15,128049.0,1
16,128049.0,1
17,128049.0,1
18,128049.0,1
19,128049.0,1
20,128049.0,1
21,128049.0,1
22,128049.0,1
23,128049.0,1
24,129049.0,1
25,129556.0,1
26,129605.0,1
27,129605.0,1
28,129605.0,1
29,129605.0,1
30,129289.0,1
