Frame,MotionEnergy,Prediction
1,0.0,0
2,-3796.0,1
3,725.0,0
4,-45.0,0
5,-4007.0,1
6,26.0,0
7,1464.0,1
8,1008.0,1
9,487.0,0
10,-245.0,0
11,-1519.0,1
12,-1504.0,1
13,-758.0,0
14,-2520.0,1
15,-713.0,0
16,-2520.0,1
17,-23.0,0
18,-1537.0,1
19,-2006.0,1
20,-453.0,0
21,-62276.0,1
22,-49.0,0
23,-4.0,0
24,0.0,0
25,0.0,0
26,0.0,0
27,0.0,0
28,0.0,0
29,0.0,0
30,0.0,0
